epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,0.6073371174457797,0.40811019641606766,0.4979700376836985,0.7917582097865133,0.4256452021982846,0.47716580882292636,0.5611781101599937,0.853548578567953
2,0.41855667747049596,0.5031685341265165,0.5879617032780018,0.8581356291414008,0.332255784997204,0.5403811457785324,0.6163938119423963,0.8873565186990188
3,0.3597907708962491,0.5403023090315431,0.6240485953195538,0.8767102153688243,0.29858685959905584,0.5661282341722008,0.6442377859267405,0.8966087948955945
4,0.3329028390454484,0.5564504096720148,0.6412609270212829,0.8846187043129846,0.3176743142656832,0.5691206711987161,0.6565137419700391,0.8859190760842905
5,0.31565691632217874,0.567540799318539,0.6525860528515197,0.8898319663171311,0.27273618269886746,0.590224529214606,0.6712428703764626,0.9042218301520252
6,0.3059309315190183,0.5740362473660379,0.6592238310661009,0.8928315810940665,0.2684401319230963,0.5918371893193605,0.6715451009168842,0.9050284254070896
7,0.30095354458231,0.578734738560792,0.6635142850989636,0.8940969989819122,0.2613097230260004,0.5984464781165818,0.6775478448529115,0.9077196869274113
8,0.2861111759136864,0.5882391318279722,0.6727291589795366,0.8992046456160517,0.25247406481996476,0.6112366127786513,0.6929865033753196,0.9103958268693629
9,0.2791113494022039,0.5953410127384292,0.6803131902488636,0.9012604886188138,0.2597351272984239,0.6069679841931124,0.6885365044618459,0.9084225130961245
10,0.2729114758632482,0.6016196597074472,0.6864807816706181,0.9036106726419434,0.24339246317344224,0.6159734312136504,0.6968914229469186,0.913935427697713
11,0.27030747899545954,0.6005378446331667,0.6852246411384166,0.9042265089346242,0.2425274123631468,0.6224819882571992,0.7053495625023409,0.9138131655702655
12,0.2661185665063942,0.6074725035200248,0.6922981415620532,0.9054805472981939,0.23957477054939974,0.6221521843173942,0.7034790303193803,0.914725197441626
13,0.26006714047204554,0.609673188862387,0.6937613438190147,0.9074716904867187,0.23826679829883096,0.6205217290540126,0.6994336165890361,0.9147351160145446
14,0.25606974394157017,0.6130548412713623,0.6976341778178827,0.9087694778574726,0.23109511378527486,0.6296009594790131,0.7096945640600346,0.917952015695956
15,0.25113026309629966,0.6161864588240433,0.7002888444804692,0.9103132973106295,0.23198817942866543,0.6302910983811714,0.7108589028035371,0.917385709965789
16,0.2508537835175997,0.6157162978435491,0.6998881949190224,0.9105039972833869,0.23040270512836092,0.6338284225097116,0.7162792954973822,0.9179092339621294
17,0.24927447568327565,0.6186760195452927,0.7025185653903966,0.9108303385286195,0.2345570662127645,0.6251178302077509,0.7040585045939087,0.9169192220140624
18,0.24419485088328136,0.6234618066394279,0.7072083071686291,0.9126744752575912,0.22748840067710652,0.6367394155835889,0.7176895038375513,0.9189468886228216
19,0.2429054118160243,0.6231174614312739,0.7065347227572786,0.9126492759778382,0.22953865767125314,0.6383123116647041,0.7207918061738916,0.9183058728707717
20,0.2407464753488616,0.6246400630871074,0.7085968052072938,0.9135680735061107,0.22777082546045316,0.632036421708257,0.7117365676201823,0.9188311240017014
21,0.2397629014514794,0.6272383578221592,0.7105915112176439,0.9139805984557227,0.2312118567826364,0.6310024688675384,0.7102818596000469,0.9180495158937954
22,0.23767342012378725,0.6285611764008139,0.7122831188258157,0.9146593063192472,0.2460176286931406,0.6254733938527711,0.7068149185388316,0.9126733895516236
23,0.23745272246552074,0.62917637137353,0.7129992047877546,0.9149319103427852,0.21982903973568205,0.6398973852081602,0.7201701594937502,0.9217215518423375
24,0.2326815037465677,0.6314253432366813,0.7150027928336733,0.9163367629452249,0.21853381130319313,0.6395172666007682,0.7179947247774444,0.9222215554058152
25,0.2348724896475184,0.6299450057220287,0.7135274025542089,0.9156979212648634,0.22259619409505954,0.6391915024365038,0.7201753180714151,0.9201200652442523
26,0.23231770877105234,0.6322628485783487,0.7152575053248063,0.9164552478553669,0.22004674887597162,0.6373173395705148,0.7151965206340389,0.9217526550660997
27,0.2289099011466822,0.6340332445059916,0.7171394255010244,0.9173635546152485,0.22171020485310747,0.6444183135804331,0.725129920536278,0.9216282477714871
28,0.22745340046785378,0.6358991145450449,0.7191316407126538,0.9179542123820222,0.2168911627975086,0.638551898233993,0.7160455330926374,0.9228300294220048
29,0.22761192009216402,0.6358866627266004,0.7191371652901052,0.917866619521575,0.22111437809747336,0.637564036859682,0.7163533278232461,0.920592600467221
30,0.2293420223263856,0.6347457058379897,0.7179733135192966,0.9172279543491649,0.21632045207407652,0.6442102339146032,0.7240576145164769,0.9230856933449739
31,0.2243637394902584,0.6376122555085414,0.7200977819487642,0.9189752404483253,0.2179650113286588,0.6469096126720347,0.7279796926367981,0.9225261589424723
32,0.2220011741750074,0.6402414443933794,0.7234193182723688,0.9195957691655428,0.21882204458917548,0.6448855773345121,0.7265952443135699,0.9212747638257558
33,0.22250592637152306,0.6397500145795906,0.7225512873554135,0.9192562953477351,0.21755314838366221,0.6453617598565584,0.7254446943165838,0.9224873469179908
34,0.2213982560799541,0.6406975703105473,0.7235707818968822,0.919827655195889,0.21833826929030803,0.6393844172048577,0.7179047297305194,0.9220928707778854
35,0.21936471863666235,0.6399555174450575,0.7225240799244542,0.9203909452067793,0.21536126950343185,0.6435362970731031,0.7226723609497583,0.9232056606935974
