combinaison,taille_lot,taux_apprentissage,dropout,weight_decay,filtres_base,miou_validation,dice_validation,precision_pixel_validation,perte_validation,epoque_executees,temps_secondes,augmentation
5,4,0.0003,0.0,0.0001,16,0.6135929822921753,0.69635009765625,0.8966807126998901,0.3288341462612152,5,1662.6122638550005,True
3,2,0.001,0.0,0.0001,16,0.6046556830406189,0.6911655068397522,0.89136803150177,0.32513681054115295,5,2836.367144647,True
7,4,0.001,0.0,0.0001,16,0.5927870869636536,0.6859517693519592,0.889337956905365,0.3343455493450165,5,1947.2629064870016,True
1,2,0.0003,0.0,0.0001,16,0.5923433899879456,0.6799917221069336,0.8846705555915833,0.3511853814125061,5,2961.99555486,True
2,2,0.0003,0.1,0.0001,16,0.5586745738983154,0.6248998045921326,0.8885217905044556,0.34318122267723083,5,2946.905300097,True
8,4,0.001,0.1,0.0001,16,0.5537323355674744,0.6269522905349731,0.8767867088317871,0.3760499358177185,5,3447.225374993999,True
6,4,0.0003,0.1,0.0001,16,0.5500564575195312,0.6186854243278503,0.8783904314041138,0.3815893530845642,5,3428.2341910120012,True
4,2,0.001,0.1,0.0001,16,0.5441719889640808,0.6148748993873596,0.875288188457489,0.3893037736415863,4,1886.988502907001,True
