epoque,entrainement_perte,entrainement_miou,entrainement_dice,entrainement_precision_pixel,validation_perte,validation_miou,validation_dice,validation_precision_pixel
1,0.5088672340417529,0.5010843331662748,0.5794213151883039,0.8552340511342275,0.30038029860530124,0.5765339029974133,0.651305135388673,0.9008077489049643
2,0.3333840010119046,0.5706947266570312,0.6517421077520501,0.8897256512317064,0.2664886180486455,0.5955632511499969,0.6716456956522124,0.9089567299257189
3,0.2964617675397454,0.590844527630473,0.6729408849183353,0.899459341877744,0.2498463154489162,0.6237119299781967,0.7031686387685495,0.9144939650225159
4,0.2789837041818063,0.6030158376140552,0.6858956739915213,0.9038526564711177,0.23781321802795333,0.6254372116844922,0.7028822011383423,0.9170367481724527
5,0.2705694110554943,0.6094559711373709,0.6921478625330062,0.9059827792935256,0.2360635353064777,0.6201364635744661,0.6960290782585294,0.9165058328001291
6,0.2570265615633098,0.6174388848548727,0.700142173367937,0.9099927989247469,0.22739808463910283,0.6333417370966967,0.7108675782340438,0.9198658176316511
7,0.2534186408813507,0.621656074052502,0.7047276520062323,0.9110697822675071,0.22294175989875858,0.6367100903111939,0.7137925788920955,0.9212445738731615
8,0.24764007342473313,0.6239235433955029,0.7058993426657774,0.9127418629455406,0.2171990499650472,0.6452814487466109,0.7239188993023535,0.923198072502277
9,0.24198158674374462,0.6293409238020703,0.7120219850249794,0.9146225875019526,0.21288263145209158,0.6473025771227223,0.7255124567381657,0.9245025229534046
10,0.2373773675565463,0.6335763509048098,0.715799278109344,0.9161944313646867,0.21798637569350685,0.6541268404848215,0.7362852559492404,0.922969332677406
11,0.23265834261731402,0.6371455350033345,0.7183110128200728,0.9174254854453322,0.21892979553581884,0.643275316361127,0.7222347239811233,0.9221071788928653
12,0.23003310387479448,0.6409334954932027,0.7230839973399715,0.9183784570385168,0.21005032984102331,0.6568168956131122,0.736135036300016,0.9254154942979749
13,0.22922499235359134,0.6402954631581929,0.7222171744477857,0.9188471759839455,0.21034274825313748,0.6577631502911445,0.7374009420732955,0.9259471861308053
14,0.22466279903412667,0.6428569769249982,0.7244962023754696,0.9201655624993615,0.20639027837638887,0.6491363344355715,0.7253423140152766,0.9268709675177632
15,0.22229451013774407,0.6453152184005737,0.7271261728236396,0.9210080534996757,0.20516629297061253,0.6624547848990172,0.7420831927670717,0.9273398068527248
16,0.22176389032747687,0.6459898193078981,0.7279415551782028,0.9209694931043909,0.20868531854560712,0.6631464548072344,0.7449474296386018,0.9261125292153967
17,0.21847633472303066,0.6493460815580996,0.7310889193137249,0.9221209918780925,0.20786156985383705,0.6556966260913518,0.7350758920192861,0.9260454205858627
18,0.21560658721286174,0.6522446201992308,0.7336150021222025,0.9227313369236843,0.19958216814486773,0.666275236549746,0.7464759932730183,0.9293389452383822
19,0.21305930145755347,0.6525191875930401,0.7339591847837421,0.9236539168153318,0.2007334301585719,0.6699318222324432,0.7509531099374525,0.9290844664077631
20,0.2148759965702603,0.6523831675052262,0.7342790422306009,0.9232024997096787,0.20218586436654098,0.6626320583819237,0.7414025807787792,0.9281011317800355
21,0.2089750341651217,0.6574113440667387,0.7386539322301584,0.9252654733629764,0.20214719762838126,0.6654588327596404,0.7463856811974127,0.9284464360883572
22,0.20909263879762566,0.6565118480922872,0.7375838356088649,0.9252368460892628,0.19992437486180523,0.6689405011701149,0.7495700169870788,0.9290893305868111
23,0.20727882420219626,0.6602184888030881,0.741676021597512,0.9256968794498652,0.1959600283845559,0.6693923813100358,0.7487171474469116,0.9306080067317758
24,0.20623871418385067,0.6602314790637752,0.7418851908615437,0.9258564595819221,0.20135327891115373,0.6683843797091401,0.7489568704445768,0.9290100468085116
